Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec
2022-08-07,Matchweek 1,Home,D 2–2,Leicester City,Brentford,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,34.0,88.2,1.0,1.0,2.0,11.0,22.0,14.0,0.0,45.0,33.3,4.0,2.0,25.0
2022-08-13,Matchweek 2,Away,L 2–4,Leicester City,Arsenal,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,39.0,74.4,1.0,0.0,4.0,12.0,23.0,9.0,1.0,44.0,,0.0,0.0,27.0
2022-08-20,Matchweek 3,Home,L 1–2,Leicester City,Southampton,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,68.0,83.8,2.0,0.0,5.0,19.0,47.0,13.0,0.0,79.0,,0.0,1.0,46.0
2022-08-27,Matchweek 4,Away,L 1–2,Leicester City,Chelsea,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,98.0,2.0,1.0,3.0,0.0,0.0,0.1,3.0,0.0,63.0,85.0,74.1,2.0,0.0,3.0,28.0,41.0,29.0,2.0,98.0,0.0,1.0,0.0,57.0
2022-09-01,Matchweek 5,Home,L 0–1,Leicester City,Manchester Utd,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,1.0,3.0,3.0,0.2,0.2,0.0,1.0,0.0,44.0,59.0,74.6,4.0,0.0,4.0,28.0,33.0,17.0,1.0,78.0,0.0,2.0,0.0,46.0
2022-09-04,Matchweek 6,Away,L 2–5,Leicester City,Brighton,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,36.0,48.0,75.0,1.0,0.0,4.0,21.0,21.0,15.0,1.0,57.0,0.0,1.0,1.0,35.0
2022-09-17,Matchweek 8,Away,L 2–6,Leicester City,Tottenham,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,0.0,2.0,0.0,0.0,0.1,6.0,2.0,75.0,82.0,91.5,3.0,2.0,5.0,22.0,57.0,19.0,0.0,98.0,40.0,2.0,1.0,64.0
2022-10-03,Matchweek 9,Home,W 4–0,Leicester City,Nott'ham Forest,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,48.0,59.0,81.4,2.0,0.0,0.0,26.0,35.0,8.0,0.0,69.0,0.0,0.0,0.0,38.0
2022-10-08,Matchweek 10,Away,L 1–2,Leicester City,Bournemouth,Y,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,60.0,71.0,84.5,2.0,1.0,4.0,24.0,43.0,14.0,0.0,81.0,100.0,3.0,0.0,55.0
2022-10-15,Matchweek 11,Home,D 0–0,Leicester City,Crystal Palace,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,87.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,76.0,85.5,5.0,0.0,1.0,17.0,51.0,20.0,0.0,87.0,0.0,0.0,0.0,56.0
2022-10-20,Matchweek 12,Home,W 2–0,Leicester City,Leeds United,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,59.0,76.3,2.0,0.0,3.0,17.0,34.0,12.0,0.0,62.0,0.0,0.0,0.0,29.0
2022-10-23,Matchweek 13,Away,W 4–0,Leicester City,Wolves,Y,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,37.0,46.0,80.4,3.0,0.0,2.0,20.0,18.0,15.0,1.0,52.0,0.0,0.0,1.0,24.0
2022-10-29,Matchweek 14,Home,L 0–1,Leicester City,Manchester City,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,31.0,37.0,83.8,1.0,0.0,7.0,26.0,16.0,7.0,1.0,49.0,,1.0,0.0,26.0
2022-11-05,Matchweek 15,Away,W 2–0,Leicester City,Everton,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,47.0,56.0,83.9,0.0,0.0,4.0,23.0,29.0,19.0,0.0,69.0,,1.0,0.0,40.0
