Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA
2022-08-06,Matchweek 1,Home,W 4–1,Tottenham,Southampton,N,4,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,3,33.3,0,0,2,3,1,0,0,4,,0,0,2,14,0,0.0,0,0,0,0
2022-08-14,Matchweek 2,Away,D 2–2,Tottenham,Chelsea,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20,Matchweek 3,Home,W 1–0,Tottenham,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-28,Matchweek 4,Away,W 2–0,Tottenham,Nott'ham Forest,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31,Matchweek 5,Away,D 1–1,Tottenham,West Ham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-03,Matchweek 6,Home,W 2–1,Tottenham,Fulham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-17,Matchweek 8,Home,W 6–2,Tottenham,Leicester City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,Matchweek 9,Away,L 1–3,Tottenham,Arsenal,N,20,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,6,50.0,0,0,2,6,2,1,0,9,0.0,0,0,5,30,25,0.0,0,0,0,0
2022-10-08,Matchweek 10,Away,W 1–0,Tottenham,Brighton,Y,90,0,0,0,0,1,0,0,0,50,1,3,1,0.1,0.1,0.0,0,0,30,41,73.2,0,0,7,23,21,8,2,50,0.0,2,0,26,433,74,0.0,0,0,0,0
2022-10-15,Matchweek 11,Home,W 2–0,Tottenham,Everton,Y,89,0,0,0,0,2,1,0,0,74,2,0,0,0.1,0.1,0.0,2,1,59,67,88.1,1,0,0,24,32,18,3,74,0.0,0,0,48,896,212,0.0,0,3,0,0
2022-10-19,Matchweek 12,Away,L 0–2,Tottenham,Manchester Utd,Y,81,0,0,0,0,1,0,0,0,44,3,1,1,0.1,0.1,0.1,4,0,32,38,84.2,1,2,2,16,15,13,1,44,100.0,1,0,30,533,156,0.0,2,1,1,0
2022-10-23,Matchweek 13,Home,L 1–2,Tottenham,Newcastle Utd,N,10,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,0,0,7,1,5,0,13,,0,0,8,157,12,0.0,0,0,0,0
2022-10-29,Matchweek 14,Away,W 3–2,Tottenham,Bournemouth,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-06,Matchweek 15,Home,L 1–2,Tottenham,Liverpool,N,23,0,0,0,0,0,0,0,0,25,0,2,0,0.0,0.0,0.0,2,1,15,19,78.9,1,0,0,1,9,16,2,25,0.0,1,0,20,185,41,0.0,0,1,0,0
2022-11-12,Matchweek 16,Home,W 4–3,Tottenham,Leeds United,N,34,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,14,20,70.0,0,1,1,4,6,14,3,24,100.0,1,0,13,201,34,0.0,0,2,0,0
2022-12-26,Matchweek 17,Away,D 2–2,Tottenham,Brentford,Y,90,0,0,0,0,1,0,0,0,82,1,1,3,0.2,0.2,0.2,4,1,49,69,71.0,4,0,3,15,35,32,5,82,0.0,1,1,51,588,213,0.1,2,3,2,1
2023-01-01,Matchweek 18,Home,L 0–2,Tottenham,Aston Villa,Y,79,0,0,0,0,1,0,0,0,57,0,0,1,0.1,0.1,0.0,1,0,48,51,94.1,1,2,0,11,24,22,1,57,100.0,1,1,40,771,223,0.0,0,2,1,1
2023-01-04,Matchweek 19,Away,W 4–0,Tottenham,Crystal Palace,Y,77,1,0,0,0,4,1,0,0,60,4,1,1,0.3,0.3,0.1,3,0,38,46,82.6,2,0,3,15,24,21,6,60,,3,1,39,589,134,0.1,2,1,1,1
2023-01-15,Matchweek 20,Home,L 0–2,Tottenham,Arsenal,Y,70,0,0,0,0,0,0,0,0,48,3,0,1,0.0,0.0,0.0,2,0,31,38,81.6,2,0,7,16,12,20,1,48,,2,0,24,499,98,0.0,0,1,0,0
2023-01-19,Matchweek 7,Away,L 2–4,Tottenham,Manchester City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-23,Matchweek 21,Away,W 1–0,Tottenham,Fulham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
