Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-07,Matchweek 1,Home,L 0–2,West Ham,Manchester City,Y,89,0,0,0,0,0,0,0,0,30,0,2,1,0.0,0.0,0.1,3,0,18,24,75.0,1,14,1,0,0,6,14,11,1,30,0.0,1,100.0,62,25,3,0,1,0,14,5,0.1,2,1,1
2022-08-14,Matchweek 2,Away,L 0–1,West Ham,Nott'ham Forest,Y,67,0,0,0,0,2,0,0,0,54,3,0,1,0.1,0.1,0.1,5,0,36,47,76.6,10,28,3,1,1,5,30,20,2,54,100.0,0,0.0,150,68,2,0,2,2,39,5,0.1,1,1,0
2022-08-21,Matchweek 3,Home,L 0–2,West Ham,Brighton,Y,61,0,0,0,0,1,1,0,0,37,0,2,2,0.0,0.0,0.0,1,0,24,31,77.4,3,22,0,1,0,3,17,17,0,37,50.0,1,50.0,82,19,1,0,0,0,25,5,0.0,0,0,0
2022-08-28,Matchweek 4,Away,W 1–0,West Ham,Aston Villa,Y,90,1,0,0,0,2,1,0,0,54,3,2,1,0.1,0.1,0.0,2,0,28,44,63.6,5,23,2,3,0,10,27,18,3,54,60.0,2,40.0,138,71,2,2,1,2,41,5,0.0,0,0,0
2022-08-31,Matchweek 5,Home,D 1–1,West Ham,Tottenham,Y,84,0,0,0,0,2,1,0,0,59,1,0,0,0.3,0.3,0.0,4,0,36,50,72.0,5,42,1,1,4,9,30,21,1,59,50.0,1,50.0,286,120,1,0,1,0,46,8,0.0,1,0,0
2022-09-03,Matchweek 6,Away,L 1–2,West Ham,Chelsea,Y,85,0,0,0,0,1,0,0,0,31,2,1,1,0.0,0.0,0.0,1,0,13,22,59.1,2,17,0,0,1,12,12,8,1,31,,0,,72,13,0,0,2,1,18,1,0.0,0,0,0
2022-09-18,Matchweek 8,Away,L 0–1,West Ham,Everton,Y,60,0,0,0,0,0,0,0,0,47,2,2,0,0.0,0.0,0.1,4,0,28,36,77.8,5,26,1,0,1,10,16,23,2,47,0.0,2,100.0,161,94,1,1,2,3,27,5,0.0,1,1,1
2022-10-01,Matchweek 9,Home,W 2–0,West Ham,Wolves,N,57,0,0,0,0,4,1,0,0,34,2,0,1,0.1,0.1,0.0,1,0,21,25,84.0,1,14,0,0,0,11,8,15,2,34,,0,,40,14,1,0,0,1,19,5,0.0,0,0,0
2022-10-09,Matchweek 10,Home,W 3–1,West Ham,Fulham,Y,89,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.1,5,0,37,49,75.5,5,33,6,0,1,8,22,23,1,53,,0,,220,145,2,1,1,0,42,7,0.2,1,2,0
2022-10-16,Matchweek 11,Away,D 1–1,West Ham,Southampton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
