Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-06,Matchweek 1,Home,4.0,1.0,Southampton,1.5,0.5
2022-08-14,Matchweek 2,Away,2.0,2.0,Chelsea,1.0,1.6
2022-08-20,Matchweek 3,Home,1.0,0.0,Wolves,1.7,0.7
2022-08-28,Matchweek 4,Away,2.0,0.0,Nott'ham Forest,2.4,0.9
2022-08-31,Matchweek 5,Away,1.0,1.0,West Ham,0.6,1.2
2022-09-03,Matchweek 6,Home,2.0,1.0,Fulham,2.9,0.7
2022-09-17,Matchweek 8,Home,6.0,2.0,Leicester City,2.2,1.8
2022-10-01,Matchweek 9,Away,1.0,3.0,Arsenal,1.6,2.4
2022-10-08,Matchweek 10,Away,1.0,0.0,Brighton,0.8,0.7
2022-10-15,Matchweek 11,Home,2.0,0.0,Everton,2.2,0.4
2022-10-19,Matchweek 12,Away,0.0,2.0,Manchester Utd,0.6,1.5
2022-10-23,Matchweek 13,Home,1.0,2.0,Newcastle Utd,1.6,1.2
2022-10-29,Matchweek 14,Away,3.0,2.0,Bournemouth,2.0,0.5
2022-11-06,Matchweek 15,Home,1.0,2.0,Liverpool,1.2,1.2
2022-11-12,Matchweek 16,Home,4.0,3.0,Leeds United,1.8,1.1
2022-12-26,Matchweek 17,Away,2.0,2.0,Brentford,1.1,2.0
2023-01-01,Matchweek 18,Home,0.0,2.0,Aston Villa,0.7,1.0
2023-01-04,Matchweek 19,Away,4.0,0.0,Crystal Palace,1.4,0.8
2023-01-15,Matchweek 20,Home,0.0,2.0,Arsenal,1.6,1.8
2023-01-19,Matchweek 7,Away,2.0,4.0,Manchester City,0.8,2.3
2023-01-23,Matchweek 21,Away,1.0,0.0,Fulham,0.9,1.0
2023-02-05,Matchweek 22,Home,,,Manchester City,,
2023-02-11,Matchweek 23,Away,,,Leicester City,,
2023-02-19,Matchweek 24,Home,,,West Ham,,
2023-02-26,Matchweek 25,Home,,,Chelsea,,
2023-03-04,Matchweek 26,Away,,,Wolves,,
2023-03-11,Matchweek 27,Home,,,Nott'ham Forest,,
2023-03-18,Matchweek 28,Away,,,Southampton,,
2023-04-01,Matchweek 29,Away,,,Everton,,
2023-04-08,Matchweek 30,Home,,,Brighton,,
2023-04-15,Matchweek 31,Home,,,Bournemouth,,
2023-04-22,Matchweek 32,Away,,,Newcastle Utd,,
2023-04-25,Matchweek 33,Home,,,Manchester Utd,,
2023-04-29,Matchweek 34,Away,,,Liverpool,,
2023-05-06,Matchweek 35,Home,,,Crystal Palace,,
2023-05-13,Matchweek 36,Away,,,Aston Villa,,
2023-05-20,Matchweek 37,Home,,,Brentford,,
2023-05-28,Matchweek 38,Away,,,Leeds United,,
