id,code,first_name,second_name,web_name,team,position,price,fbref_id
3,84450,Granit,Xhaka,Xhaka,1,M,4.9,e61b8aee
6,167199,Thomas,Partey,Partey,1,M,4.7,529f49ab
7,184029,Martin,Ødegaard,Ødegaard,1,M,7.0,79300479
8,192895,Kieran,Tierney,Tierney,1,D,4.6,fce2302c
10,198869,Benjamin,White,White,1,D,4.7,35e413f1
11,205533,Eddie,Nketiah,Nketiah,1,F,6.8,a53649b7
13,223340,Bukayo,Saka,Saka,1,M,8.4,bc7dc64d
14,223723,Takehiro,Tomiyasu,Tomiyasu,1,D,4.2,b3af9be1
16,226597,Gabriel,dos Santos Magalhães,Gabriel,1,D,5.2,67ac5bb8
19,444145,Gabriel,Martinelli Silva,Martinelli,1,M,6.5,48a5a5d6
25,438098,Fábio,Ferreira Vieira,Fábio Vieira,1,M,5.6,6412cc03
26,462424,William,Saliba,Saliba,1,D,5.3,972aeb2a
28,205651,Gabriel,Fernando de Jesus,Jesus,1,F,7.9,b66315ae
111,116216,Leandro,Trossard,Trossard,1,M,6.6,38ceb24a
130,85955,Jorge Luiz,Frello Filho,Jorginho,1,M,5.8,
313,206325,Oleksandr,Zinchenko,Zinchenko,1,D,5.1,51cf8561
29,84583,Philippe,Coutinho Correia,Coutinho,2,M,6.6,0ef89a37
33,101188,Lucas,Digne,Digne,2,D,4.6,1b84dbe1
37,122806,John,McGinn,McGinn,2,M,5.1,90f91999
39,149484,Tyrone,Mings,Mings,2,D,4.3,8397a50c
40,178301,Ollie,Watkins,Watkins,2,F,7.2,aed3a70f
42,195546,Emiliano,Buendía Stati,Buendía,2,M,5.7,66b76d44
43,199796,Matty,Cash,Cash,2,D,4.6,2389cdc2
44,199798,Ezri,Konsa Ngoyo,Konsa,2,D,4.4,0313a347
45,215711,Leon,Bailey,Bailey,2,M,4.4,3a233281
46,230046,Douglas Luiz,Soares de Paulo,Douglas Luiz,2,M,4.8,6f7d826d
47,232653,Jacob,Ramsey,Ramsey,2,M,5.2,1544f145
53,226944,Boubacar,Kamara,Kamara,2,M,4.8,cc77354e
479,151589,Leander,Dendoncker,Dendoncker,2,M,4.7,5a7301ae
538,18892,Ashley,Young,Young,2,D,4.4,be927d03
694,106468,Alexandre,Moreno Lopera,Álex Moreno,2,D,4.4,16e9d0ea
57,54469,Adam,Smith,Smith,3,D,4.3,20b104bc
59,81012,Ryan,Fredericks,Fredericks,3,D,4.4,c067631c
62,128340,Kieffer,Moore,Moore,3,F,5.1,01ce9e70
64,152551,Jefferson,Lerma Solís,Lerma,3,M,4.8,9b5ce51a
65,154131,Jack,Stacey,Stacey,3,D,4.3,558807c0
66,154566,Dominic,Solanke,Solanke,3,F,5.5,e77dc3b2
67,155408,Lewis,Cook,Cook,3,M,4.9,2afc7272
68,156687,Ben,Pearson,Pearson,3,M,4.4,a6b461e7
69,158499,Ryan,Christie,Christie,3,M,5.3,26ce2263
70,168991,Philip,Billing,Billing,3,M,5.1,d328a254
71,223911,Chris,Mepham,Mepham,3,D,4.4,fed96827
73,235530,Lloyd,Kelly,Kelly,3,D,4.3,f31def1e
75,444180,Jaidon,Anthony,Anthony,3,M,5.2,e4238fb1
76,447932,Jordan,Zemura,Zemura,3,D,4.3,e8271ad9
404,88900,Jack,Stephens,Stephens,3,D,4.3,6adbc307
535,201658,Marcus,Tavernier,Tavernier,3,M,4.7,5c0da4a4
576,221466,Marcos,Senesi,Senesi,3,D,4.4,35141f4c
705,533463,Dango,Ouattara,Ouattara,3,M,5.0,2f9e4435
78,61810,Pontus,Jansson,Jansson,4,D,4.2,172e52d8
79,128295,Christian,Nørgaard,Nørgaard,4,M,5.3,df0a4c90
80,144485,Ivan,Toney,Toney,4,F,7.7,e09f279b
83,183656,Josh,Dasilva,Dasilva,4,M,4.1,60344e4f
84,191866,Kristoffer,Ajer,Ajer,4,D,4.5,a8c0acb7
85,194010,Rico,Henry,Henry,4,D,4.5,8a3c1dc7
86,204580,Vitaly,Janelt,Janelt,4,M,5.5,8449d35e
88,207283,Mathias,Jensen,Jensen,4,M,4.8,0f134faf
89,216646,Yoane,Wissa,Wissa,4,M,5.3,2500cef9
90,226956,Mads,Roerslev Rasmussen,Roerslev,4,D,4.3,57c94db2
92,231065,Ethan,Pinnock,Pinnock,4,D,4.4,e541326e
93,428580,Frank,Onyeka,Onyeka,4,M,4.8,2944f86f
94,432160,Shandon,Baptiste,Baptiste,4,M,4.5,2886c9b5
95,446008,Bryan,Mbeumo,Mbeumo,4,F,5.8,6afaebf2
510,472713,Aaron,Hickey,Hickey,4,D,4.9,1780bb4a
515,249231,Keane,Lewis-Potter,Lewis-Potter,4,M,5.2,41f08ac8
526,51927,Ben,Mee,Mee,4,D,5.0,8df7a2fb
580,440089,Mikkel,Damsgaard,Damsgaard,4,M,5.1,215f3907
595,48760,Mathias,Jorgensen,Zanka,4,D,4.0,0db5d2c8
101,39155,Adam,Lallana,Lallana,5,M,4.9,99813635
103,50175,Danny,Welbeck,Welbeck,5,F,6.5,ce5143da
104,60307,Pascal,Groß,Groß,5,M,5.5,8aec0537
106,83299,Lewis,Dunk,Dunk,5,D,4.7,282f75f3
107,109345,Solly,March,March,5,M,5.1,bb5fbd2b
108,110735,Adam,Webster,Webster,5,D,4.5,c40b6180
109,111478,Joël,Veltman,Veltman,5,D,4.6,dad4b285
114,232792,Tariq,Lamptey,Lamptey,5,D,4.2,f4e433d4
116,243016,Alexis,Mac Allister,Mac Allister,5,M,5.4,83d074ff
120,486672,Moisés,Caicedo Corozo,Caicedo,5,M,5.0,16264a81
124,451340,Kaoru,Mitoma,Mitoma,5,M,5.4,74618572
559,460028,Levi,Colwill,Colwill,5,D,4.4,700783e7
586,204214,Pervis,Estupiñán,Estupiñán,5,D,4.7,d38fdf53
596,487117,Evan,Ferguson,Ferguson,5,F,4.6,4596da74
112,179268,Marc,Cucurella Saseta,Cucurella,6,D,5.1,1daec722
127,41328,César,Azpilicueta,Azpilicueta,6,D,4.8,53cad200
128,51090,Thiago,Emiliano da Silva,Thiago Silva,6,D,5.5,86e7deaf
132,91651,Mateo,Kovacic,Kovacic,6,M,4.9,79c0821a
135,124183,Hakim,Ziyech,Ziyech,6,M,5.5,6622454d
136,126187,Ruben,Loftus-Cheek,Loftus-Cheek,6,M,5.0,e97fd090
139,172850,Ben,Chilwell,Chilwell,6,D,5.8,d2424d1b
140,176413,Christian,Pulisic,Pulisic,6,M,5.7,1bf33a9a
141,180736,Trevoh,Chalobah,Chalobah,6,D,4.5,5515376c
142,184341,Mason,Mount,Mount,6,M,7.3,9674002f
145,219847,Kai,Havertz,Havertz,6,F,7.7,fed7cb61
146,225796,Reece,James,James,6,D,5.8,1265a93a
148,232787,Conor,Gallagher,Gallagher,6,M,5.7,c2731c10
150,440323,Armando,Broja,Broja,6,F,5.3,97220da2
272,444463,Wesley,Fofana,W.Fofana,6,D,4.3,132a82f1
304,103955,Raheem,Sterling,Sterling,6,M,9.7,b400bde0
520,86129,Kalidou,Koulibaly,Koulibaly,6,D,5.5,da974c7b
616,212701,Denis,Zakaria,Zakaria,6,M,4.9,384d58d9
617,54694,Pierre-Emerick,Aubameyang,Aubameyang,6,F,8.4,d5dd5f1f
661,487838,Lewis,Hall,Hall,6,M,4.4,da011f18
689,242880,Benoît,Badiashile,Badiashile,6,D,5.0,06df8256
724,448047,Enzo,Fernández,Enzo,6,M,5.0,
18,437742,Albert,Sambi Lokonga,Sambi,7,M,4.3,
156,55494,Joel,Ward,Ward,7,D,4.4,8a7ff278
157,57328,Nathaniel,Clyne,Clyne,7,D,4.5,0442183b
158,66975,Luka,Milivojevic,Milivojevic,7,M,4.2,2ce2508a
159,80146,Jordan,Ayew,J.Ayew,7,M,5.3,da052c14
